시간,시작가,고가,저가,종가,거래량,macd,macd_s,macd_d,vwap,sar
07/26/24 06:00:00,65275.7,65320.0,65212.8,65215.0,786.848,,,,,65215.0
07/26/24 06:01:00,65215.1,65258.4,65191.5,65258.4,203.525,,,,,65258.4
07/26/24 06:02:00,65258.3,65345.0,65258.3,65340.1,417.255,,,,,65320.0
07/26/24 06:03:00,65340.1,65355.5,65307.6,65340.0,314.463,,,,,65258.3
07/26/24 06:04:00,65339.9,65350.0,65282.8,65313.7,237.447,,,,,65258.3
07/26/24 06:05:00,65313.6,65364.8,65272.9,65340.9,442.668,,,,,65260.244000000006
07/26/24 06:06:00,65341.0,65360.1,65323.8,65354.9,282.179,,,,,65264.42624000001
07/26/24 06:07:00,65355.0,65370.0,65281.2,65300.5,262.909,,,,,65268.44119040001
07/26/24 06:08:00,65300.1,65311.8,65240.0,65250.1,140.62,,,,,65370.0
07/26/24 06:09:00,65250.1,65266.2,65223.1,65231.5,100.475,,,,,65370.0
07/26/24 06:10:00,65231.5,65307.6,65231.4,65283.9,153.933,,,,,65364.124
07/26/24 06:11:00,65283.9,65310.9,65283.8,65307.0,42.22,,,,,65358.48304000001
07/26/24 06:12:00,65306.9,65373.2,65284.1,65370.9,319.247,,,,,65223.1
07/26/24 06:13:00,65370.9,65370.9,65340.3,65357.1,90.349,,,,65300.25360391917,65226.102
07/26/24 06:14:00,65357.1,65429.0,65350.1,65392.9,551.13,,,,65325.531204898056,65229.043959999995
07/26/24 06:15:00,65393.0,65441.0,65392.9,65437.6,269.166,,,,65337.85469412169,65237.042201599994
07/26/24 06:16:00,65437.6,65449.0,65359.6,65420.0,318.651,,,,65347.101507076484,65249.279669503994
07/26/24 06:17:00,65420.0,65482.0,65412.5,65465.8,239.13,,,,65355.63214705713,65265.25729594367
07/26/24 06:18:00,65465.9,65479.5,65451.7,65451.8,158.518,,,,65363.413352011186,65286.9315663493
07/26/24 06:19:00,65451.7,65546.6,65442.9,65484.6,813.891,,,,65395.64203713571,65306.43840971437
07/26/24 06:20:00,65484.7,65584.0,65484.7,65580.1,369.02,,,,65414.117219963446,65335.25780054864
